date,value,change,增减
2025-09-01,101754,3925.0,
2025-09-02,105660,3906.0,
2025-09-03,104748,-912.0,
2025-09-04,106257,1509.0,
2025-09-05,112306,6049.0,
2025-09-08,110520,-1786.0,
2025-09-09,114111,3591.0,
2025-09-10,121933,7822.0,
2025-09-11,132690,10757.0,
2025-09-12,138692,6002.0,
2025-09-15,151297,12605.0,
2025-09-16,151297,0.0,
2025-09-17,151297,0.0,
2025-09-18,150393,-904.0,
2025-09-19,150393,0.0,
2025-09-22,152201,1808.0,
2025-09-23,151006,-1195.0,
2025-09-24,149211,-1795.0,
2025-09-25,149211,0.0,
2025-09-26,149211,0.0,
2025-09-29,159759,10548.0,
2025-09-30,170292,10533.0,
2025-10-09,173010,2718.0,
2025-10-10,176029,3019.0,
2025-10-13,197158,21129.0,
2025-10-14,210994,13836.0,
2025-10-15,217032,6038.0,
2025-10-16,216433,-599.0,
2025-10-17,221262,4829.0,
2025-10-20,220361,-901.0,
2025-10-21,220361,0.0,
2025-10-22,220361,0.0,
2025-10-23,221257,896.0,
2025-10-24,221257,0.0,
2025-10-27,223372,2115.0,
2025-10-28,223372,0.0,
2025-10-29,223372,0.0,
2025-10-30,225761,2389.0,
2025-10-31,237167,11406.0,
2025-11-03,238362,1195.0,
2025-11-04,246763,8401.0,
2025-11-05,251899,5136.0,
2025-11-06,252106,207.0,
2025-11-07,253654,1548.0,1548.0
2025-11-10,253654,0.0,0.0
2025-11-11,253654,0.0,0.0
2025-11-12,253654,0.0,0.0
2025-11-13,253654,0.0,0.0
2025-11-14,253654,0.0,0.0
2025-11-17,253654,0.0,0.0
2025-11-18,255462,1808.0,1808.0
2025-11-19,255764,302.0,302.0
2025-11-20,255124,-640.0,-640.0
2025-11-21,250910,-4214.0,-4214.0
2025-11-24,254516,3606.0,3606.0
2025-11-25,254516,0.0,0.0
2025-11-26,257887,3371.0,3371.0
2025-11-27,257283,-604.0,-604.0
2025-11-28,258413,1130.0,1130.0
2025-12-01,253612,-4801.0,-4801.0
2025-12-02,253612,0.0,0.0
2025-12-03,250314,-3298.0,-3298.0
2025-12-04,253320,3006.0,3006.0
2025-12-05,253320,0.0,0.0
2025-12-08,250916,-2404.0,-2404.0
2025-12-09,254276,3360.0,3360.0
2025-12-10,254276,0.0,0.0
2025-12-11,256088,1812.0,1812.0
2025-12-12,254887,-1201.0,-1201.0
2025-12-15,248569,-6318.0,-6318.0
2025-12-16,246175,-2394.0,-2394.0
2025-12-17,236562,-9613.0,-9613.0
2025-12-18,187607,-48955.0,-48955.0
2025-12-19,179799,-7808.0,-7808.0
2025-12-22,168677,-11122.0,-11122.0
2025-12-23,162036,-6641.0,-6641.0
2025-12-24,161734,-302.0,-302.0
2025-12-25,161130,-604.0,-604.0
2025-12-26,160829,-301.0,-301.0
2025-12-29,158419,-2410.0,-2410.0
2025-12-30,157818,-601.0,-601.0
2025-12-31,156917,-901.0,-901.0
